club_id,club_code,name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,last_season,filename,url
79,vfb-stuttgart,Stuttgart,L1,,35,24.1,15,42.9,13,MHPArena Stuttgart,60449,€-11.58m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/vfb-stuttgart/startseite/verein/79
86,sv-werder-bremen,Werder Bremen,L1,,27,26.6,12,44.4,6,Weserstadion,42100,€-1.13m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/sv-werder-bremen/startseite/verein/86
931,fc-fulham,Fulham,GB1,,25,28.3,20,80.0,10,Craven Cottage,29589,€-22.75m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fc-fulham/startseite/verein/931
1123,norwich-city,Norwich City,GB1,,25,26.0,17,68.0,12,Carrow Road,27244,€-10.33m,,2021,../data/raw/transfermarkt-scraper/2021/clubs.json.gz,https://www.transfermarkt.co.uk/norwich-city/startseite/verein/1123
1531,fc-elche,Elche CF,ES1,,18,27.3,5,27.8,0,Manuel Martínez Valero,31388,+€1.00m,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/fc-elche/startseite/verein/1531
583,fc-paris-saint-germain,Paris S-G,FR1,,24,23.8,15,62.5,17,Parc des Princes,48583,€-109.82m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fc-paris-saint-germain/startseite/verein/583
621,athletic-bilbao,Athletic Club,ES1,,24,27.3,1,4.2,5,San Mamés,53289,€-8.75m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/athletic-bilbao/startseite/verein/621
65,spvgg-greuther-furth,SpVgg Greuther Fürth,L1,,28,24.0,11,39.3,2,Sportpark Ronhof | Thomas Sommer,16626,+€3.97m,,2021,../data/raw/transfermarkt-scraper/2021/clubs.json.gz,https://www.transfermarkt.co.uk/spvgg-greuther-furth/startseite/verein/65
677,ipswich-town,Ipswich Town,GB1,,29,26.9,15,51.7,13,Portman Road,30056,€-150.23m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/ipswich-town/startseite/verein/677
855,ea-guingamp,EA Guingamp,FR1,,27,25.4,7,25.9,1,Stade du Roudourou,18120,+€3.70m,,2018,../data/raw/transfermarkt-scraper/2018/clubs.json.gz,https://www.transfermarkt.co.uk/ea-guingamp/startseite/verein/855
985,manchester-united,Manchester Utd,GB1,,26,26.4,18,69.2,19,Old Trafford,74879,€-143.30m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/manchester-united/startseite/verein/985
1132,fc-burnley,Burnley FC,GB1,,28,24.8,18,64.3,8,Turf Moor,21994,+€50.53m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/fc-burnley/startseite/verein/1132
150,real-betis-sevilla,Betis,ES1,,25,28.3,12,48.0,6,Benito Villamarín,60721,+€20.15m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/real-betis-sevilla/startseite/verein/150
3368,ud-levante,Levante UD,ES1,,23,27.5,6,26.1,0,Ciutat de València,26354,+€7.80m,,2021,../data/raw/transfermarkt-scraper/2021/clubs.json.gz,https://www.transfermarkt.co.uk/ud-levante/startseite/verein/3368
506,juventus-turin,Juventus,IT1,,27,25.5,20,74.1,19,Allianz Stadium,41507,€-87.40m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/juventus-turin/startseite/verein/506
618,as-saint-etienne,Saint-Étienne,FR1,,27,26.8,12,44.4,4,Stade Geoffroy-Guichard,41965,€-8.10m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/as-saint-etienne/startseite/verein/618
1095,es-troyes-ac,ESTAC Troyes,FR1,,29,23.1,16,57.1,5,Stade de l'Aube,21877,+-0,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/es-troyes-ac/startseite/verein/1095
1420,sco-angers,Angers,FR1,,28,26.9,16,57.1,7,Stade Raymond Kopa,19350,+€474k,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/sco-angers/startseite/verein/1420
23826,rasenballsport-leipzig,RB Leipzig,L1,,26,25.1,19,73.1,17,Red Bull Arena,47069,€-21.50m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/rasenballsport-leipzig/startseite/verein/23826
2687,fc-cadiz,Cádiz CF,ES1,,26,28.7,6,23.1,2,Nuevo Mirandilla,21094,+€4.00m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/fc-cadiz/startseite/verein/2687
2919,ac-monza,Monza,IT1,,31,26.5,11,35.5,3,Brianteo,17102,+€34.75m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/ac-monza/startseite/verein/2919
3524,clermont-foot-63,Clermont Foot 63,FR1,,30,23.9,18,60.0,5,Stade Gabriel-Montpied,10800,+€4.00m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/clermont-foot-63/startseite/verein/3524
398,lazio-rom,Lazio,IT1,,31,26.4,22,71.0,13,Olimpico di Roma,70634,€-27.90m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/lazio-rom/startseite/verein/398
4171,benevento-calcio,Benevento Calcio,IT1,,31,26.7,16,51.6,2,Ciro Vigorito,16867,€-1.93m,,2020,../data/raw/transfermarkt-scraper/2020/clubs.json.gz,https://www.transfermarkt.co.uk/benevento-calcio/startseite/verein/4171
418,real-madrid,Real Madrid,ES1,,24,27.0,17,70.8,19,Santiago Bernabéu,81044,€-33.00m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/real-madrid/startseite/verein/418
6574,us-sassuolo,US Sassuolo,IT1,,32,23.8,11,34.4,7,Mapei Stadium - Città del Tricolore,21584,+€49.15m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/us-sassuolo/startseite/verein/6574
738,ac-le-havre,Le Havre,FR1,,27,26.4,15,55.6,3,Stade Océane,25178,+€11.25m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/ac-le-havre/startseite/verein/738
89,1-fc-union-berlin,Union Berlin,L1,,27,27.6,15,55.6,6,Stadion An der Alten Försterei,22012,+€5.80m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/1-fc-union-berlin/startseite/verein/89
940,celta-vigo,Celta Vigo,ES1,,24,27.0,6,25.0,4,Abanca Balaídos,24870,+€12.50m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/celta-vigo/startseite/verein/940
1387,acn-siena-1904,Siena FC,IT1,,20,25.5,2,10.0,0,Artemio Franchi,15373,+-0,,2012,../data/raw/transfermarkt-scraper/2012/clubs.json.gz,https://www.transfermarkt.co.uk/acn-siena-1904/startseite/verein/1387
1390,cagliari-calcio,Cagliari,IT1,,24,27.1,11,45.8,8,Unipol Domus,16365,+€5.80m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/cagliari-calcio/startseite/verein/1390
1416,amiens-sc,Amiens SC,FR1,,24,24.1,10,41.7,7,Stade Crédit Agricole la Licorne,12999,+€700k,,2019,../data/raw/transfermarkt-scraper/2019/clubs.json.gz,https://www.transfermarkt.co.uk/amiens-sc/startseite/verein/1416
167,fc-augsburg,Augsburg,L1,,27,26.3,17,63.0,9,WWK ARENA,30660,+€25.35m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fc-augsburg/startseite/verein/167
289,afc-sunderland,Sunderland AFC,GB1,,26,23.5,12,46.2,6,Stadium of Light,48707,€-6.06m,,2016,../data/raw/transfermarkt-scraper/2016/clubs.json.gz,https://www.transfermarkt.co.uk/afc-sunderland/startseite/verein/289
2921,delfino-pescara-1936,Delfino Pescara 1936,IT1,,28,24.6,6,21.4,1,Adriatico,20476,+€4.60m,,2016,../data/raw/transfermarkt-scraper/2016/clubs.json.gz,https://www.transfermarkt.co.uk/delfino-pescara-1936/startseite/verein/2921
3,1-fc-koln,1.FC Köln,L1,,34,24.6,11,32.4,6,RheinEnergieSTADION,50000,+€1.60m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/1-fc-koln/startseite/verein/3
430,ac-florenz,Fiorentina,IT1,,25,25.9,10,40.0,10,Artemio Franchi,43147,€-31.97m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/ac-florenz/startseite/verein/430
5,ac-mailand,Milan,IT1,,26,26.3,20,76.9,14,Giuseppe Meazza,75923,€-70.90m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/ac-mailand/startseite/verein/5
512,stoke-city,Stoke City,GB1,,24,26.7,9,37.5,6,bet365 Stadium,30089,+€17.00m,,2017,../data/raw/transfermarkt-scraper/2017/clubs.json.gz,https://www.transfermarkt.co.uk/stoke-city/startseite/verein/512
826,rc-lens,Lens,FR1,,26,26.8,17,65.4,10,Stade Bollaert-Delelis,38223,+€73.19m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/rc-lens/startseite/verein/826
897,deportivo-la-coruna,Deportivo de La Coruña,ES1,,24,27.7,3,12.5,0,Abanca Riazor,32912,€-435k,,2017,../data/raw/transfermarkt-scraper/2017/clubs.json.gz,https://www.transfermarkt.co.uk/deportivo-la-coruna/startseite/verein/897
11,fc-arsenal,Arsenal,GB1,,24,26.8,18,75.0,19,Emirates Stadium,60704,€-25.11m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fc-arsenal/startseite/verein/11
1627,catania-calcio,Catania FC,IT1,,27,26.0,5,18.5,0,Cibali - Angelo Massimino,20204,€-101k,,2013,../data/raw/transfermarkt-scraper/2013/clubs.json.gz,https://www.transfermarkt.co.uk/catania-calcio/startseite/verein/1627
16795,fc-granada,Granada CF,ES1,,24,26.1,8,33.3,4,Nuevo Los Cármenes,19336,+€19.70m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/fc-granada/startseite/verein/16795
2239,us-cremonese,US Cremonese,IT1,,29,25.4,9,30.0,2,Giovanni Zini,16003,+€5.00m,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/us-cremonese/startseite/verein/2239
252,genua-cfc,Genoa,IT1,,29,26.5,18,62.1,6,Luigi Ferraris,34901,+€12.94m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/genua-cfc/startseite/verein/252
281,manchester-city,Manchester City,GB1,,28,26.7,21,75.0,21,Etihad Stadium,55097,€-102.00m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/manchester-city/startseite/verein/281
3302,ud-almeria,UD Almería,ES1,,24,25.2,13,54.2,5,Power Horse Stadium,18331,€-1.60m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/ud-almeria/startseite/verein/3302
39,1-fsv-mainz-05,Mainz 05,L1,,24,27.2,10,41.7,7,Mewa Arena,33305,+€26.25m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/1-fsv-mainz-05/startseite/verein/39
405,aston-villa,Aston Villa,GB1,,24,27.7,16,66.7,15,Villa Park,42918,+€42.97m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/aston-villa/startseite/verein/405
543,wolverhampton-wanderers,Wolves,GB1,,31,26.4,27,87.1,15,Molineux Stadium,31750,€-8.21m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/wolverhampton-wanderers/startseite/verein/543
60,sc-freiburg,Freiburg,L1,,27,27.4,12,44.4,6,Europa-Park Stadion,34700,€-7.10m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/sc-freiburg/startseite/verein/60
714,espanyol-barcelona,Espanyol,ES1,,28,26.1,8,28.6,3,RCDE Stadium,40500,+€1.10m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/espanyol-barcelona/startseite/verein/714
862,chievo-verona,Chievo Verona,IT1,,0,,0,,0,Marcantonio Bentegodi,31045,+-0,,2018,../data/raw/transfermarkt-scraper/2018/clubs.json.gz,https://www.transfermarkt.co.uk/chievo-verona/startseite/verein/862
8970,frosinone-calcio,Frosinone Calcio,IT1,,31,23.8,15,48.4,5,Benito Stirpe,16227,+€5.81m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/frosinone-calcio/startseite/verein/8970
12321,fc-girona,Girona,ES1,,26,27.6,15,57.7,6,Montilivi,14624,+€11.00m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fc-girona/startseite/verein/12321
127,sc-paderborn-07,SC Paderborn 07,L1,,26,25.7,5,19.2,1,Home Deluxe Arena,15000,€-450k,,2019,../data/raw/transfermarkt-scraper/2019/clubs.json.gz,https://www.transfermarkt.co.uk/sc-paderborn-07/startseite/verein/127
19,brescia-calcio,Brescia Calcio,IT1,,28,25.1,12,42.9,1,Mario Rigamonti,19550,+€3.65m,,2019,../data/raw/transfermarkt-scraper/2019/clubs.json.gz,https://www.transfermarkt.co.uk/brescia-calcio/startseite/verein/19
23,eintracht-braunschweig,Eintracht Braunschweig,L1,,30,25.6,11,36.7,2,EINTRACHT-Stadion,23325,+€750k,,2013,../data/raw/transfermarkt-scraper/2013/clubs.json.gz,https://www.transfermarkt.co.uk/eintracht-braunschweig/startseite/verein/23
33,fc-schalke-04,FC Schalke 04,L1,,27,26.4,12,44.4,4,Veltins-Arena,62271,+€10.30m,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/fc-schalke-04/startseite/verein/33
350,sheffield-united,Sheffield United,GB1,,28,24.2,11,39.3,5,Bramall Lane,32702,+€31.02m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/sheffield-united/startseite/verein/350
472,ud-las-palmas,Las Palmas,ES1,,25,27.5,9,36.0,2,Estadio de Gran Canaria,32400,+€3.50m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/ud-las-palmas/startseite/verein/472
1005,us-lecce,Lecce,IT1,,34,25.0,29,85.3,8,Ettore Giardiniero,31559,+€45.50m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/us-lecce/startseite/verein/1005
1038,sampdoria-genua,UC Sampdoria,IT1,,33,24.3,5,15.6,4,Luigi Ferraris,36348,+€1.75m,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/sampdoria-genua/startseite/verein/1038
1210,as-livorno,US Livorno 1915,IT1,,29,24.1,5,17.2,0,Armando Picchi,19238,+-0,,2013,../data/raw/transfermarkt-scraper/2013/clubs.json.gz,https://www.transfermarkt.co.uk/as-livorno/startseite/verein/1210
1533,sd-eibar,SD Eibar,ES1,,26,28.3,5,19.2,0,Ipurua,8164,+€2.60m,,2020,../data/raw/transfermarkt-scraper/2020/clubs.json.gz,https://www.transfermarkt.co.uk/sd-eibar/startseite/verein/1533
180,fc-southampton,Southampton,GB1,,30,26.1,17,56.7,10,St Mary's Stadium,32384,€-80.56m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fc-southampton/startseite/verein/180
2448,sporting-gijon,Sporting Gijón,ES1,,28,26.2,10,35.7,2,El Molinón - Enrique Castro Quini,29029,+€5.23m,,2016,../data/raw/transfermarkt-scraper/2016/clubs.json.gz,https://www.transfermarkt.co.uk/sporting-gijon/startseite/verein/2448
368,fc-sevilla,Sevilla,ES1,,23,26.1,13,56.5,8,Ramón Sánchez-Pizjuán,43883,+€16.55m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fc-sevilla/startseite/verein/368
38,fortuna-dusseldorf,Fortuna Düsseldorf,L1,,29,25.9,12,41.4,2,MERKUR SPIEL-ARENA,54600,+€600k,,2019,../data/raw/transfermarkt-scraper/2019/clubs.json.gz,https://www.transfermarkt.co.uk/fortuna-dusseldorf/startseite/verein/38
415,fc-toulouse,Toulouse,FR1,,25,25.0,17,68.0,10,Stadium Municipal,33150,+€47.80m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fc-toulouse/startseite/verein/415
416,fc-turin,Torino,IT1,,29,26.9,24,82.8,15,Olimpico Grande Torino,28177,+€21.90m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fc-turin/startseite/verein/416
417,ogc-nizza,Nice,FR1,,27,26.2,17,63.0,12,Allianz Riviera,36178,+€3.30m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/ogc-nizza/startseite/verein/417
44,hertha-bsc,Hertha BSC,L1,,36,24.1,14,38.9,7,Olympiastadion Berlin,74667,+€6.70m,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/hertha-bsc/startseite/verein/44
631,fc-chelsea,Chelsea,GB1,,30,23.7,18,60.0,14,Stamford Bridge,41631,€-47.10m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fc-chelsea/startseite/verein/631
749,fc-empoli,Empoli,IT1,,28,26.3,16,57.1,4,Carlo Castellani,19847,+€11.05m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fc-empoli/startseite/verein/749
10,arminia-bielefeld,Arminia Bielefeld,L1,,27,25.3,15,55.6,4,SchücoArena,26515,+€5.90m,,2021,../data/raw/transfermarkt-scraper/2021/clubs.json.gz,https://www.transfermarkt.co.uk/arminia-bielefeld/startseite/verein/10
1049,fc-valencia,Valencia,ES1,,26,25.9,9,34.6,5,Mestalla,49430,+€28.65m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fc-valencia/startseite/verein/1049
27,fc-bayern-munchen,Bayern Munich,L1,,26,27.7,15,57.7,17,Allianz Arena,75000,€-64.65m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fc-bayern-munchen/startseite/verein/27
29,fc-everton,Everton,GB1,,25,28.0,15,60.0,11,Goodison Park,39414,+€33.45m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fc-everton/startseite/verein/29
290,aj-auxerre,Auxerre,FR1,,28,25.3,17,60.7,9,Stade de l'Abbé-Deschamps,18541,+€1.00m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/aj-auxerre/startseite/verein/290
347,fc-metz,FC Metz,FR1,,26,25.0,19,73.1,7,Stade Saint-Symphorien,28786,+€21.90m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/fc-metz/startseite/verein/347
399,leeds-united,Leeds United,GB1,,27,24.6,18,66.7,9,Elland Road,37890,+€930k,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/leeds-united/startseite/verein/399
4083,fc-crotone,FC Crotone,IT1,,25,27.0,6,24.0,1,Ezio Scida,16640,+€3.90m,,2020,../data/raw/transfermarkt-scraper/2020/clubs.json.gz,https://www.transfermarkt.co.uk/fc-crotone/startseite/verein/4083
533,tsg-1899-hoffenheim,Hoffenheim,L1,,33,26.0,22,66.7,12,PreZero Arena,30150,€-44.40m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/tsg-1899-hoffenheim/startseite/verein/533
607,venezia-fc,Venezia,IT1,,30,26.2,23,76.7,10,Pier Luigi Penzo,12048,€-3.50m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/venezia-fc/startseite/verein/607
800,atalanta-bergamo,Atalanta,IT1,,26,27.7,14,53.8,18,Gewiss Stadium,24950,+€11.45m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/atalanta-bergamo/startseite/verein/800
984,west-bromwich-albion,West Bromwich Albion,GB1,,25,27.8,8,32.0,4,The Hawthorns,26850,€-1.35m,,2020,../data/raw/transfermarkt-scraper/2020/clubs.json.gz,https://www.transfermarkt.co.uk/west-bromwich-albion/startseite/verein/984
